,Character Name,Move name,Start up,Advantage,Active frames
14,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Down Air
		","
		18
		","
		-16/-17
		","
		18—20/21—24
		"
15,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Neutral B (Flamethrower)
		","
		19/26/33/40
		","
		-24
		","
		19—22/26—29/33—36/40—43
		"
16,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Side B (Flare Blitz)
		","
		23
		","
		-52/-66
		","
		23—51
		"
17,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Up B (Fly)
		","
		9...
		","
		--
		","
		9—10/16—26(rehit: 3)/27—28
		"
18,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Down B (Pokemon Change)
		","
		--
		","
		--
		","
		**
		"
19,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Grab
		","
		8
		","
		--
		","
		8—10
		"
20,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Dash Grab
		","
		11
		","
		--
		","
		11—13
		"
21,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Pivot Grab
		","
		12
		","
		--
		","
		12—14
		"
22,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Pummel
		","
		2
		","
		--
		","
		12—14
		"
23,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Forward Throw
		","
		27
		","
		--
		","
		12—14
		"
24,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Backward Throw
		","
		26
		","
		--
		","
		12—14
		"
25,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Up Throw
		","
		52/58
		","
		--
		","
		12—14
		"
26,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Down Throw
		","
		24/30/36/42/48/55
		","
		--
		","
		12—14
		"
27,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Spot Dodge
		","
		24/30/36/42/48/55
		","
		--
		","
		12—14
		"
28,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Forward Roll
		","
		24/30/36/42/48/55
		","
		--
		","
		12—14
		"
29,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Backward Roll
		","
		24/30/36/42/48/55
		","
		--
		","
		12—14
		"
30,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Neutral Air Dodge
		","
		24/30/36/42/48/55
		","
		--
		","
		12—14
		"
31,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Air Dodge, Down
		","
		24/30/36/42/48/55
		","
		--
		","
		12—14
		"
32,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Air Dodge, Diagonally Down
		","
		24/30/36/42/48/55
		","
		--
		","
		12—14
		"
33,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Air Dodge, Left/Right
		","
		24/30/36/42/48/55
		","
		--
		","
		12—14
		"
34,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Air Dodge, Diagonally Up
		","
		24/30/36/42/48/55
		","
		--
		","
		12—14
		"
35,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Air Dodge, Up
		","
		24/30/36/42/48/55
		","
		--
		","
		12—14
		"
36,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
			Ledge Grab
		","
		24/30/36/42/48/55
		","
		--
		","
		12—14
		"
37,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
			Ledge Grab
		","
		24/30/36/42/48/55
		","
		--
		","
		12—14
		"
38,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
				Ledge Hang
			","
		24/30/36/42/48/55
		","
		--
		","
		12—14
		"
