,Character Name,Move name,Start up,Advantage,Active frames
19,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Down B (Oil Panic)
		","
		6 (Start of Absorb/Reflect)
		","
		--
		","
		6—30 (absorb)
		"
20,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Oil Panic, Overload
		","
		2
		","
		**
		","
		2—7(8—14/15—26)
		"
21,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Grab
		","
		6
		","
		**
		","
		6—7
		"
22,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Dash Grab
		","
		9
		","
		**
		","
		9—10
		"
23,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Pivot Grab
		","
		10
		","
		**
		","
		10—11
		"
24,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Pummel
		","
		1
		","
		**
		","
		10—11
		"
25,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Forward Throw
		","
		26
		","
		**
		","
		10—11
		"
26,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Backward Throw
		","
		26
		","
		**
		","
		10—11
		"
27,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Up Throw
		","
		26
		","
		**
		","
		10—11
		"
28,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Down Throw
		","
		35
		","
		**
		","
		10—11
		"
29,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Spot Dodge
		","
		35
		","
		**
		","
		10—11
		"
30,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Forward Roll
		","
		35
		","
		**
		","
		10—11
		"
31,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Backward Roll
		","
		35
		","
		**
		","
		10—11
		"
32,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Neutral Air Dodge
		","
		35
		","
		**
		","
		10—11
		"
33,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Air Dodge, Down
		","
		35
		","
		**
		","
		10—11
		"
34,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Air Dodge, Diagonally Down
		","
		35
		","
		**
		","
		10—11
		"
35,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Air Dodge, Left/Right
		","
		35
		","
		**
		","
		10—11
		"
36,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Air Dodge, Diagonally Up
		","
		35
		","
		**
		","
		10—11
		"
37,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Air Dodge, Up
		","
		35
		","
		**
		","
		10—11
		"
38,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
			Ledge Grab
		","
		35
		","
		**
		","
		10—11
		"
39,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
			Ledge Grab
		","
		35
		","
		**
		","
		10—11
		"
40,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
				Ledge Hang
			","
		35
		","
		**
		","
		10—11
		"
